"activity","imageID","image","oocyte","area","mean","n_pixels","cum_intensity","cum_int_wo_bgd","oocyte_vol","relative_conc_um3"
"active","SUM_raw_worm2_Airyscan Processing_exp2","SUM_raw_worm2_Airyscan Processing","oocyte_2",505.1743,60.179,112227,6753714,2851658.48213652,2778.45974539854,1026.34507728939
"active","SUM_raw_worm2_Airyscan Processing_exp2","SUM_raw_worm2_Airyscan Processing","oocyte_3",443.0285,31.5464,98421,3104824,-317206.403767731,2436.65772587586,0
"active","SUM_raw_worm2_Airyscan Processing_exp2","SUM_raw_worm2_Airyscan Processing","oocyte_4",713.5829,23.5517,158526,3733558,-1778281.86941489,3924.70715245929,0
"active","SUM_raw_worm2_Airyscan Processing_exp2","SUM_raw_worm2_Airyscan Processing","oocyte_5",492.467,24.9917,109404,2734187,-1069714.75159574,2708.56932810805,0
"active","SUM_raw_worm3_Airyscan Processing_exp2","SUM_raw_worm3_Airyscan Processing","oocyte_1",792.7978,94.4412,176124,16633354,10013745.9510638,4360.38960498429,2296.52550763291
"active","SUM_raw_worm3_Airyscan Processing_exp2","SUM_raw_worm3_Airyscan Processing","oocyte_2",571.6279,53.0486,126990,6736640,1963729.85638298,3143.95469065519,624.605011713365
"active","SUM_raw_worm3_Airyscan Processing_exp2","SUM_raw_worm3_Airyscan Processing","oocyte_3",492.8181,35.6442,109482,3902394,-212479.205319149,2710.50041296411,0
"active","SUM_raw_worm3_Airyscan Processing_exp2","SUM_raw_worm3_Airyscan Processing","oocyte_4",631.0864,35.6972,140199,5004708,-264661.471808511,3470.97648377957,0
"active","SUM_raw_worm3_Airyscan Processing_exp2","SUM_raw_worm3_Airyscan Processing","oocyte_5",438.5812,34.3897,97433,3350691,-311321.394858156,2412.19731769909,0
"active","SUM_raw_worm4_Airyscan Processing_exp2","SUM_raw_worm4_Airyscan Processing","oocyte_1",567.3876,133.203,126048,16789975,12507786.5985816,3120.63312739354,4008.0926170993
"active","SUM_raw_worm4_Airyscan Processing_exp2","SUM_raw_worm4_Airyscan Processing","oocyte_2",561.7699,78.2972,124800,9771488,5531697.5035461,3089.73576969658,1790.3464619207
"active","SUM_raw_worm4_Airyscan Processing_exp2","SUM_raw_worm4_Airyscan Processing","oocyte_3",466.8092,45.7002,103704,4739296,1216193.16631206,2567.45158862671,473.696630425105
"active","SUM_raw_worm4_Airyscan Processing_exp2","SUM_raw_worm4_Airyscan Processing","oocyte_4",564.9164,29.9115,125499,3753861,-509676.399955674,3107.04126090666,0
